east,north,up
-0.17689497205014443,-0.8893498202583773,0.6744184043706267
-0.35304348811282976,-0.7427425072965587,1.4189293735399335
-0.2781178838062371,-0.7645198716434708,0.8523104445833918
0.0021972908593400034,0.11752530638735309,-1.0119848832575127
0.23413896961411595,0.4849555083617906,-2.470065557742915
0.48855248522471045,0.4225196083599953,-3.6135761828359283
0.32741777450621423,0.7331271592000876,-1.2970432377352363
0.2897295283852052,0.4961329519742778,1.104601601798121
0.10166595249639786,0.5413358767955236,1.2387294118112753
-0.0901364795574651,0.49840507532004147,1.101385900942608
-0.3160700942761834,-0.3548894869310376,0.4998848111312922
-0.17933251800398198,-0.47559787626984,1.159567465324191
